p_error_x,p_error_y,p_error_z,q_error_x,q_error_y,q_error_z,q_error_w
0.0013982363669661144,0.00042701422216958815,-0.0010848111377632834,-0.00016497760515143023,-0.00284644039357907,-0.002806556468624405,0.9999775670991066
0.0032949498840629324,-0.00020296361871874335,-0.0010835490737495055,0.00043012884309505877,-0.002856223206734192,-0.19568513743360194,0.9806478087809855
0.0032949499253323014,-0.00020296358588615254,-0.001084180080704171,0.0004195166320698911,-0.002831222892129516,-0.19568517872749486,0.980647877635139
0.003294949930540066,-0.0002029638652897986,-0.0010851484344713662,0.0005089462683494057,-0.0028430037976333268,-0.1956849567728124,0.9806478455067901
0.004265191700938638,-0.000446249637882163,-0.0010838333550360817,0.0006836871321799141,-0.002825263317503371,-0.2852096297751102,0.9584456992672149
0.0042651916087703785,-0.0004462497784538215,-0.0010847236495120291,0.0007348998577883218,-0.0028532616670174974,-0.2852095009195197,0.9584456167704459
0.0052457401966276955,-0.000640610022101161,-0.0010836171905425401,0.000932957235000139,-0.0027384013605627256,-0.36202166738797487,0.9321497111470883
0.0052457400934850275,-0.0006406100177879029,-0.0010844214381504319,0.0009102321962194039,-0.0027868836700261986,-0.36202173911206315,0.9321495620704974
0.006235045057033199,-0.0007857665827104149,-0.0010833960061053009,0.0011000578550466446,-0.0026794000885972205,-0.42197196568335965,0.9065883364385328
0.006235045014300692,-0.0007857665671024382,-0.0010840983171143377,0.0010802802962823692,-0.002701830387888903,-0.4219720250161191,0.906588266034817
0.006235045234592767,-0.0007857665182412245,-0.0010850975808466524,0.0011012523998545347,-0.0026052223403211223,-0.42197200837667237,0.9065885313125525
0.007230294628860168,-0.0008812918282136914,-0.0010838189528564065,0.001235939734627702,-0.0026370487362160407,-0.4623969008362616,0.8866519979254204
0.0072302947124594,-0.0008812919248847688,-0.0010846687826870985,0.0012713748612171974,-0.002606592149048888,-0.46239682122246784,0.8866520794019895
0.008229146027417117,-0.0009269610119684718,-0.001083553800061572,0.0012702993563250711,-0.002602884684622354,-0.48194364397206185,0.8761809609133141
0.008229146058533119,-0.0009269610827095202,-0.0010843441528800904,0.0013190675889077474,-0.0025963207681696165,-0.4819435127693667,0.8761809804942536
0.00922936526448741,-0.0009226416388399029,-0.0010833867543724091,0.0012723284064400588,-0.002601043650137046,-0.48008959047259653,0.8771982340231851
0.009229365276719189,-0.000922641619530807,-0.0010839399243240835,0.001262002878614821,-0.0025792074339979214,-0.48008962582823517,0.877198294065279
0.00922936507966705,-0.0009226416337628149,-0.0010847695690738965,0.0012408323218310456,-0.0026511567836572233,-0.4800897018720642,0.8771980681467748
0.010227654245740899,-0.0008683577513444139,-0.0010836875375551426,0.0011896666255656137,-0.002629867529855762,-0.45688505631878384,0.8895048368074571
0.010227654281184202,-0.0008683576649945422,-0.00108455466749685,0.0011725662450836638,-0.0025939301576300903,-0.4568851255898197,0.8895049294583455
0.011221961982284643,-0.0007642574017254905,-0.0010737249121233504,0.0010725271050656294,-0.0026849271453361963,-0.4129677757873133,0.9107252043916959
0.011221962023571383,-0.0007642573639001678,-0.001084231538642302,0.001062432005171054,-0.002654108940475189,-0.4129678160943858,0.9107252882814796
0.011221962132402317,-0.0007642576005427483,-0.0010851484344713668,0.0011403926480566813,-0.0026535262398706856,-0.4129676252972925,0.9107252822122605
0.012209968536637248,-0.0006105740888528652,-0.0010838677362187382,0.0008718324221240579,-0.002739598078826989,-0.3498749665562173,0.9367765919305754
0.012209968361010114,-0.0006105741949840177,-0.0010848476949694673,0.0008975121377693859,-0.002815700840745451,-0.3498749057817546,0.9367763647243295
0.013189036211574075,-0.00040770895584777214,-0.0010836732387127744,0.0006555644242970729,-0.002833377431680854,-0.2705116666665405,0.962697315518273
0.013189036218896777,-0.00040770885720103206,-0.0010844083896729153,0.0006131370767235257,-0.002803612268056531,-0.27051180873332864,0.9626973906987503
0.014156863160713252,-0.00015613104764470795,-0.0010835369929182586,0.00038542150394970325,-0.002864005315960101,-0.17937337994756283,0.9837621564134215
0.014156863165437716,-0.00015613099776509015,-0.0010841297277970566,0.0003566730606522916,-0.002860923708301177,-0.1793734699440906,0.9837621598136733
0.015110869409729666,0.00014349580335932394,-0.0010836672966211128,0.00011784558869999867,-0.002897952907775614,-0.08245134136773269,0.9965763920489019
0.015110869414903347,0.0001434959061803187,-0.0010843703202280733,6.362792549883829e-05,-0.0028860105130432416,-0.08245151532546133,0.9965764172488355
0.016048682960096296,0.0004904215758498136,-0.0010833867543724091,-0.00017142240839210257,-0.0028904778154577836,0.013407491978165528,0.9998914920192068
